,date,SPY
283,2020-05-01,2830.7099609375
284,2020-05-04,2842.739990234375
285,2020-05-05,2868.43994140625
286,2020-05-06,2848.419921875
287,2020-05-07,2881.18994140625
288,2020-05-08,2929.800048828125
289,2020-05-11,2930.18994140625
290,2020-05-12,2870.1201171875
291,2020-05-13,2820.0
292,2020-05-14,2852.5
293,2020-05-15,2863.699951171875
294,2020-05-18,2953.909912109375
295,2020-05-19,2922.93994140625
296,2020-05-20,2971.610107421875
297,2020-05-21,2948.510009765625
298,2020-05-22,2955.449951171875
299,2020-05-26,2991.77001953125
300,2020-05-27,3036.1298828125
301,2020-05-28,3029.72998046875
302,2020-05-29,3044.31005859375
303,2020-06-01,3055.72998046875
304,2020-06-02,3080.820068359375
305,2020-06-03,3122.8701171875
306,2020-06-04,3112.35009765625
307,2020-06-05,3193.929931640625
308,2020-06-08,3232.389892578125
309,2020-06-09,3207.179931640625
310,2020-06-10,3190.139892578125
311,2020-06-11,3002.10009765625
312,2020-06-12,3041.31005859375
313,2020-06-15,3066.590087890625
314,2020-06-16,3124.739990234375
315,2020-06-17,3113.489990234375
316,2020-06-18,3115.340087890625
317,2020-06-19,3097.739990234375
318,2020-06-22,3117.860107421875
319,2020-06-23,3131.2900390625
320,2020-06-24,3050.330078125
321,2020-06-25,3083.760009765625
322,2020-06-26,3009.050048828125
323,2020-06-29,3053.239990234375
324,2020-06-30,3100.2900390625
325,2020-07-01,3115.860107421875
326,2020-07-02,3130.010009765625
327,2020-07-06,3179.719970703125
328,2020-07-07,3145.320068359375
329,2020-07-08,3169.93994140625
330,2020-07-09,3152.050048828125
331,2020-07-10,3185.0400390625
332,2020-07-13,3155.219970703125
333,2020-07-14,3197.52001953125
334,2020-07-15,3226.56005859375
335,2020-07-16,3215.570068359375
336,2020-07-17,3224.72998046875
337,2020-07-20,3251.840087890625
338,2020-07-21,3257.300048828125
339,2020-07-22,3276.02001953125
340,2020-07-23,3235.659912109375
341,2020-07-24,3215.6298828125
342,2020-07-27,3239.409912109375
343,2020-07-28,3218.43994140625
344,2020-07-29,3258.43994140625
345,2020-07-30,3246.219970703125
346,2020-07-31,3271.1201171875
347,2020-08-03,3294.610107421875
348,2020-08-04,3306.510009765625
349,2020-08-05,3327.77001953125
350,2020-08-06,3349.159912109375
351,2020-08-07,3351.280029296875
352,2020-08-10,3360.469970703125
353,2020-08-11,3333.68994140625
354,2020-08-12,3380.35009765625
355,2020-08-13,3373.429931640625
356,2020-08-14,3372.85009765625
357,2020-08-17,3381.989990234375
358,2020-08-18,3389.780029296875
359,2020-08-19,3374.85009765625
360,2020-08-20,3385.510009765625
361,2020-08-21,3397.159912109375
362,2020-08-24,3431.280029296875
363,2020-08-25,3443.6201171875
364,2020-08-26,3478.72998046875
365,2020-08-27,3484.550048828125
366,2020-08-28,3508.010009765625
367,2020-08-31,3500.31005859375
368,2020-09-01,3526.64990234375
369,2020-09-02,3580.840087890625
370,2020-09-03,3455.06005859375
371,2020-09-04,3426.9599609375
372,2020-09-08,3331.840087890625
373,2020-09-09,3398.9599609375
374,2020-09-10,3339.18994140625
375,2020-09-11,3340.969970703125
376,2020-09-14,3383.5400390625
377,2020-09-15,3401.199951171875
378,2020-09-16,3385.489990234375
379,2020-09-17,3357.010009765625
380,2020-09-18,3319.469970703125
381,2020-09-21,3281.06005859375
